NUMERO,DESCRICAO,FAMILIA,PRECO1,PRECOVENDA,STOCK,MARGEM
454,AZEITONA VERDE CAMPON_S BOLSA 25X100 GR,Alimentos,"1.136,80",1.260,"20,68","10,84%"

455,VINHO S DE SOL ALENTEJO BRANCO 6X75CL,alcoolicas,"3.157,77",3.500,"10,50","10,84%"

456,ESCOVA DENTE PIERROT SUAVE 12X1 UN,PRODUTOS DE HIGIENE LIMPEZA,"608,09",674,"3,00","10,84%"

457,VINHOS DE SOL ALENTEJO TINTO 6X75CL,alcoolicas,"3.157,69",3.500,"45,00","10,84%"

458,HAMBURGER PORCO ASA 1X1 KG,Alimentos,"616,16",683,"17,00","10,85%"

459,CHUPETA DORI BOLETE TUTTI-FRUTTI (R_ 958) 1X525GR,CONFEITARIAS,"160,58",178,"4,50","10,85%"

460,CONJUNTO ESFREGONA C/BALDE OVAL 1X12 UN,OUTROS/DIVERSOS,"3.247,68",3.600,"0,17","10,85%"

461,VINHO MATEUS BRANCO 6X75 CL,alcoolicas,"3.334,25",3.696,"0,50","10,85%"

462,FRALDA P/ADULTO INDAS GRANDE C/ELASTICO 4X20 UN,PRODUTOS DE HIGIENE LIMPEZA,"2.772,15",3.073,"93,00","10,85%"

463,BOL. TIFFANY CREME MANGA 24X84 GR,Alimentos,"678,33",752,"86,21","10,86%"

464,ELIXIR LISTERINE TOTAL CARE SENSITIVE 6X500 ML,PRODUTOS DE HIGIENE LIMPEZA,"1.886,09",2.091,"8,50","10,86%"

465,CALDO KNORR GALINHA CUV. 6X30 CUB,Alimentos,"1.733,58",1.922,"4,50","10,87%"

466,CERVEJA SUPER BOCK XL GFA 12X50 CL,alcoolicas,"1.419,59",1.574,"0,25","10,88%"

467,VINHO ALANDRA TINTO 6X75 CL,alcoolicas,"2.335,69",2.590,"20,00","10,89%"

468,VINHO EVIDENCIA TINTO D_O 6X75 CL,alcoolicas,"3.242,90",3.596,"27,50","10,89%"

469,CH_ LIPTON CIDREIRA PYRAMID 12X20 UN,Alimentos,"1.035,26",1.148,"5,08","10,89%"

470,CHOC. CADBURY DAIRY MILK/WHOLE & NUT 12X45 GR,CONFEITARIAS,"1.093,87",1.213,"1,00","10,89%"

471,"MARISCO, CAMARAO 31/40 BLACK TIGER ASA 10X750GR",Alimentos,"8.105,97",8.990,"1,10","10,91%"

472,CH_ LIPTON MENTA 12X20 UN,Alimentos,"1.034,96",1.148,"3,00","10,92%"

473,PAPEL HIG. AMOOS 1X12 ROL,PRODUTOS DE HIGIENE LIMPEZA,"132,52",147,"11,00","10,93%"

474,"DET. P_ SKIP ACTIVE CLEAN 45 Dos 4X2,75 KG",PRODUTOS DE HIGIENE LIMPEZA,"4.310,86",4.782,"3,75","10,93%"

475,VINHO GR_O VASCO D_O TINTO 6X75 CL,alcoolicas,"3.369,69",3.738,"0,50","10,93%"

476,APERIT. BATATA FRITA TOP CHIP 25X35 GR,Alimentos,"877,06",973,"13,00","10,94%"

477,MAYONAISE ARMANTI FRASCO 6X750 ML,Alimentos,"1.135,67",1.260,"360,67","10,95%"

478,BACON EXTRA SANTA MARIA 1X1 KG,Alimentos,"611,87",679,"0,78","10,97%"

479,FRALDA JOYFUL ADVANTAGE MAXI 7/18KG 4X60 FR,PRODUTOS DE HIGIENE LIMPEZA,"3.231,92",3.587,"608,75","10,99%"

480,VINHO P. DO CONDE TOUR. NAC. SYRAH TINTO 6X75 CL,alcoolicas,"6.031,80",6.695,"16,00","11,00%"

481,SEMENTE CHIA EM GR_O 100% 12X300 GR,Alimentos,"1.731,47",1.922,"7,50","11,00%"

482,CEREAL FARINHA DE SOJA 100% 20X500 GR,Alimentos,"4.260,81",4.730,"6,75","11,01%"

483,MASSA PR_ COZ. RENATA EXPRESS GAL. CAIPIRA 50X85UN,Alimentos,"978,27",1.086,"15,00","11,01%"

484,MASSA PR_ COZ. RENATA EXPRESS GALINHA 50X85UN,Alimentos,"978,27",1.086,"9,00","11,01%"

485,MASSA PR_ COZ. RENATA EXPRESS FEIJ_O/BACON 50X96UN,Alimentos,"978,27",1.086,"15,00","11,01%"

486,VINHO NOVA ZEL_NDIA FRAMINGHAM TINTO 6X75 CL,alcoolicas,"8.843,10",9.817,"2,00","11,01%"

487,DROPS DORI RECH. L.CHEIA FRUT SORT. (357) 30X150GR,CONFEITARIAS,"1.397,79",1.552,"19,00","11,03%"

488,BOL. TIFFANY CREME BAUNILHA 24X84 GR,Alimentos,"677,24",752,"27,96","11,04%"

489,VINHO DONA ERMELINDA FREITAS MOSCATEL 6X75 CL,alcoolicas,"3.892,24",4.322,"18,00","11,04%"

490,ELIXIR LISTERINE FRESCURA CITRICA 6X500 ML,PRODUTOS DE HIGIENE LIMPEZA,"1.883,06",2.091,"10,00","11,04%"

491,BOL. TIFFANY CREME COCO 24X84 GR,Alimentos,"677,20",752,"14,50","11,05%"

492,CHOC. E AVEL_ P/ BARRAR DUO ARMANTI 6X400 GR,Alimentos,"876,15",973,"15,50","11,05%"

493,GEL WC LIMPADOR DESTELLO 167 16X750 ML,PRODUTOS DE HIGIENE LIMPEZA,"1.972,87",2.191,"3,00","11,06%"

494,AMAC. ROUPA YPE CARINHO FR 24X500 ML,OUTROS/DIVERSOS,"1.878,30",2.086,"9,25","11,06%"

495,AMAC. ROUPA YPE TERNURA FR 24X500 ML,PRODUTOS DE HIGIENE LIMPEZA,"1.878,29",2.086,"10,50","11,06%"

496,T_MARA NATURAL GANCEDO 12X250 GR,CONFEITARIAS,"1.745,91",1.939,"6,33","11,06%"

497,AMAC. ROUPA YPE ACONCHEGO FR 24X500 ML,PRODUTOS DE HIGIENE LIMPEZA,"1.878,23",2.086,"8,50","11,06%"

498,AMAC. ROUPA YPE AMOR/DELICADO FR 6X2 LT,OUTROS/DIVERSOS,"1.502,63",1.669,"13,50","11,07%"

499,AMAC. ROUPA YPE INTENSO FR 6X2 LT,PRODUTOS DE HIGIENE LIMPEZA,"1.502,60",1.669,"10,00","11,07%"

500,SABON. GEL LAVA-M_O JOEL 1X10 KG,cosmeticos,"1.189,29",1.321,"9,00","11,07%"

501,AMAC. ROUPA YPE ACONCHEGO FR 6X2 LT,PRODUTOS DE HIGIENE LIMPEZA,"1.502,57",1.669,"4,00","11,08%"

502,AMAC. ROUPA YPE TERNURA FR 6X2 LT,PRODUTOS DE HIGIENE LIMPEZA,"1.502,57",1.669,"9,00","11,08%"

503,BOL. TIFFANY CREME MORANGO 24X84 GR,Alimentos,"676,99",752,"81,37","11,08%"

504,TEMPERO ALIMENTAR GARCIA 12X500 ML,Alimentos,"742,65",825,"396,00","11,09%"

505,DET. HARPIC TROPICAL 12X750 ML,PRODUTOS DE HIGIENE LIMPEZA,"2.375,56",2.639,"12,75","11,09%"

506,VINHO SOSSEGO ALENTEJO REG. BRANCO 6X75 CL,alcoolicas,"5.039,67",5.599,"5,00","11,10%"

507,VINHO SOSSEGO ALENTEJO REG. TINTO 6X75 CL,alcoolicas,"5.039,48",5.599,"23,50","11,10%"

508,APERIT. BAT. FRITA CAMP. SUPER DOURADA 16X150 GR,Alimentos,"2.206,95",2.452,"0,50","11,10%"

509,CHOC. PARA BARRAR ARMANTI 18X200 GR,Alimentos,"1.705,60",1.895,"169,00","11,10%"

510,CERVEJA STRELA KRIOLA 12X25 CL,alcoolicas,"765,91",851,"15,00","11,11%"

511,BOL. TIFFANY CREME LARANJA 24X84 GR,Alimentos,"676,80",752,"64,25","11,11%"

512,FRALDA JOYFUL ADVANTAGE MINI 3/6KG 4X76 FR,PRODUTOS DE HIGIENE LIMPEZA,"3.227,86",3.587,"418,00","11,13%"

513,CH_ LIPTON CAMOMILA PYRAMID 12X20 UN,Alimentos,"1.032,92",1.148,"2,50","11,14%"

514,FRALDA JOYFUL MIDI 4/9KG 4X68 FR,PRODUTOS DE HIGIENE LIMPEZA,"3.227,15",3.587,"328,00","11,15%"

515,OLEO COCO C/AROMA CHILI N-JOY FRASCO 12X200 ML,Alimentos,"2.854,63",3.173,"6,83","11,15%"

516,DROPS DORI GOTA COLA (634) 50X70GR,CONFEITARIAS,"1.188,43",1.321,"7,06","11,16%"

517,CERVEJA EMDBRAU MINI GFA 24X25 CL,alcoolicas,"1.514,10",1.683,"276,75","11,16%"

518,T_MARA NATURAL GANCEDO 1X1 KG,CONFEITARIAS,"363,43",404,"254,00","11,16%"

519,CHOC. EM P_ KI BOM 10X100 GR,CONFEITARIAS,"626,09",696,"37,00","11,17%"

520,DROPS DORI GOTA COLA (289) 30X150GR,CONFEITARIAS,"1.368,22",1.521,"3,00","11,17%"

521,CEREAL FARINHA AVEIA INTEGRAL 100% 12X400 GR,Alimentos,"1.078,52",1.199,"3,50","11,17%"

522,BOL. TIFFANY WAFERS CRUNCH MORANGO 24X153 GR,Alimentos,"2.345,93",2.608,"1,00","11,17%"

523,DROPS DORI MENTA (658) 50X70GR,CONFEITARIAS,"1.188,25",1.321,"2,14","11,17%"

524,CHOC. PARA BARRAR ARMANTI 6X400 GR,Alimentos,"875,20",973,"340,17","11,17%"

525,DROPS DORI TRINK FRUTAS SORTIDAS 50X70GR,CONFEITARIAS,"1.188,14",1.321,"2,00","11,18%"

526,ELIXIR LISTERINE SENSITIVE ADVANCED 12X500 ML,PRODUTOS DE HIGIENE LIMPEZA,"3.721,80",4.138,"11,50","11,18%"

527,GELATINA ALSA GELLY-JA PESSEGO 7X180 GR,Alimentos,"1.226,76",1.364,"6,00","11,19%"

528,VINHO ALENTEJO ALABASTRO TINTO 6X75 CL,alcoolicas,"2.913,05",3.239,"18,16","11,19%"

529,DROPS DORI MEL RECHEADA (R_ 272) 30X150GR,CONFEITARIAS,"1.395,77",1.552,"2,04","11,19%"

530,VINHO GALITOS TINTO ALENTEJO 6X75 CL,alcoolicas,"1.829,00",2.034,"42,50","11,21%"

531,COUVE BRUXELAS CONG. PINGUIN 20X450GR,Alimentos,"1.415,31",1.574,"28,60","11,21%"

532,APERIT. BAT. FRITA QUEI/ERVA  SUPER DOUR. 12X40GR,Alimentos,"591,65",658,"1,00","11,21%"

533,APERIT. BAT. FRITA HOT SPICY SUPER DOUR. 12X40 GR,Alimentos,"591,64",658,"0,59","11,22%"

534,VINHO ADEGA DE BORBA RESERVA TINTO (2015) 6X75 CL,alcoolicas,"9.045,12",10.060,"8,50","11,22%"

535,P_ LIXO N_ 2 1X12 UN,OUTROS/DIVERSOS,"382,10",425,"13,00","11,23%"

536,VINHO VERDE BRC_ 3 MARIAS 6X1 LT,alcoolicas,"2.751,64",3.061,"11,50","11,24%"

537,PAPEL HIG. RENOVA KISS 1X32 ROL,PRODUTOS DE HIGIENE LIMPEZA,"671,47",747,"25,00","11,25%"

538,VINHO RIPAN_O ALENTEJO TINTO 6X75CL,alcoolicas,"5.001,16",5.564,"3,20","11,25%"

539,FRALDA JOYFUL ADVANTAGE JUNIOR 11/25KG 4X44 FR,PRODUTOS DE HIGIENE LIMPEZA,"3.224,14",3.587,"265,75","11,25%"

540,MOUSSE CHOC. ALSA 10X148 GR,Alimentos,"2.008,00",2.234,"3,00","11,25%"

541,CHOC. EM P_ PANTAGRUEL 24X125 GR,CONFEITARIAS,"2.570,39",2.860,"10,00","11,27%"

542,VINHO CASAL GARCIA VERDE BRANCO 6X75 CL,alcoolicas,"3.199,92",3.561,"44,00","11,28%"

543,VINHO DO PORTO TAWNY VALE MIEIRO 6X75 CL,alcoolicas,"4.371,61",4.865,"19,50","11,29%"

544,LEITE BATIDO INCOLAC MORANGO 20X500 ML,Alimentos,"2.100,76",2.338,"3,15","11,29%"

545,QUEIJO MOZARELA BARRA 1X1 KG,Alimentos,"681,96",759,"114,30","11,30%"

546,LIXIVIA BRANCA FLOR 12X1 LT,PRODUTOS DE HIGIENE LIMPEZA,"597,49",665,"3,50","11,30%"

547,"CEREAL, FLOCOS MEL AMANHECER 8X750 GR",Alimentos,"2.121,28",2.361,"1,00","11,30%"

548,LUNCHEON MEAT GAL. FOODLOVE 24X340 GR,Alimentos,"2.671,01",2.973,"248,75","11,31%"

549,DOCE MARMELADA TOP CUVETE 8X900 GR,Alimentos,"1.248,80",1.390,"0,50","11,31%"

550,"DET. P_ P/M_Q. XAU REGULAR 70D 3X4,375 KG",PRODUTOS DE HIGIENE LIMPEZA,"3.085,12",3.434,"5,67","11,31%"

551,VINHO QUINTA DO GRADIL TANNAT TINTO 6X75 CL,alcoolicas,"9.879,57",10.999,"1,50","11,33%"

552,VINHO DO PORTO FERREIRA WHITE 6X75 CL,alcoolicas,"5.568,00",6.199,"0,50","11,33%"

553,FACA PLASTICO PIKNI (BOLSA) 1X100 UN,OUTROS/DIVERSOS,"123,95",138,"14,00","11,34%"

554,MARGARINA PLANTA P/CULIN_RIA CUV. 16X250 GR,Alimentos,"1.010,28",1.125,"5,07","11,36%"

555,VINHO BAIRRADA ALIAN_A RESERVA TINTO 6X75 CL,alcoolicas,"3.107,17",3.460,"9,50","11,36%"

556,VINHO PA_O DO CONDE TINTO 6X75 CL,alcoolicas,"4.041,03",4.500,"22,00","11,36%"

557,VINHO P_ROLA DOURO TINTO 6X75 CL,alcoolicas,"2.177,64",2.425,"3,50","11,36%"

558,GELATINA ALSA GELLY-JA ANANAS 7X180 GR,Alimentos,"1.224,79",1.364,"7,00","11,37%"

559,VINHO DONA ERMELINDA DOC TINTO 6X75 CL,alcoolicas,"3.404,00",3.791,"2,50","11,37%"

560,ELIXIR LOVIN MENTA FRESCA 6X500 ML,PRODUTOS DE HIGIENE LIMPEZA,"709,34",790,"18,00","11,37%"

561,TEMPERO SUMO LIM_O CRISTAL 12X125 ML,Alimentos,"967,00",1.077,"6,50","11,38%"

562,SOPA KNORR ERVILHA/PRESUNTO 14X78 GR,Alimentos,"1.232,74",1.373,"2,50","11,38%"

563,VINHO JOS_ DE SOUSA TINTO 6X75CL,alcoolicas,"6.733,00",7.500,"3,50","11,39%"

564,DOCE ARMANTI DAMASCO FRASCO 12X380 GR,Alimentos,"1.337,39",1.490,"24,50","11,41%"

565,DOCE ARMANTI LARANJA FRASCO 12X380 GR,Alimentos,"1.337,39",1.490,"22,50","11,41%"

566,DOCE ARMANTI ROSA FRASCO 12X380 GR,Alimentos,"1.337,39",1.490,"24,00","11,41%"

567,DOCE ARMANTI MORANGO FRASCO 12X380 GR,Alimentos,"1.337,39",1.490,"23,00","11,41%"

568,DOCE ARMANTI AMORA FRASCO 12X380 GR,Alimentos,"1.337,39",1.490,"24,00","11,41%"

569,DOCE ARMANTI FRAMBOESA FRASCO 12X380 GR,Alimentos,"1.337,39",1.490,"23,50","11,41%"

570,DOCE ARMANTI PESSEGO FRASCO 12X380 GR,Alimentos,"1.337,39",1.490,"23,00","11,41%"

571,DOCE ARMANTI CEREJA FRASCO 12X380 GR,Alimentos,"1.337,39",1.490,"24,00","11,41%"

572,DOCE ARMANTI GINJA FRASCO 12X380 GR,Alimentos,"1.337,39",1.490,"23,50","11,41%"

573,DOCE ARMANTI FIGO FRASCO 12X380 GR,Alimentos,"1.337,39",1.490,"23,00","11,41%"

574,SUMO MAAZA TROPICAL LTA 24X33 CL,n_alcool,"1.330,93",1.483,"103,55","11,43%"

575,VINHO PORTA DA RAVESSA TINTO 6X75 CL,alcoolicas,"2.308,99",2.573,"10,50","11,43%"

576,"COGUMELOS CORTADOS TREVI 6X2,5 KG",Alimentos,"2.371,67",2.643,"29,00","11,44%"

577,VINHO GAT_O TINTO  6X75 CL,alcoolicas,"3.104,61",3.460,"2,50","11,45%"

578,VINHO GAT_O VERDE BRANCO 12X375 ML,alcoolicas,"3.913,02",4.361,"1,25","11,45%"

579,SABON. LIQUIDO LOVIN FR. SILVESTRES 6X500 ML,cosmeticos,"573,34",639,"1,17","11,45%"

580,VINHO D. ERM. ALICANTE BOUSHET RES. TINTO 6X75 CL,alcoolicas,"7.168,46",7.990,"6,50","11,46%"

581,SUMO MAAZA GOIABA LTA 24X33 CL,n_alcool,"1.330,42",1.483,"43,71","11,47%"

582,ELIXIR LISTERINE DENTES E GENGIVAS 6X500 ML,PRODUTOS DE HIGIENE LIMPEZA,"1.875,67",2.091,"0,50","11,48%"

583,AMB. SPRAY RUISENOR FR. VERMELHOS 12X300 ML,OUTROS/DIVERSOS,"1.189,33",1.326,"12,33","11,49%"

584,VINHO ALBERNOAS RESERVA 6X75 CL,alcoolicas,"4.192,20",4.674,"6,50","11,49%"

585,COGUMELOS CORTADOS TREVI 12X780 GR,Alimentos,"1.948,95",2.173,"10,25","11,50%"

586,SACO LIXO PERFUMADO 20LT (45X47) 10X1ROL,OUTROS/DIVERSOS,"713,91",796,"1,60","11,50%"

587,SABON. LIQUIDO LOVIN ALOE VERA 6X500 ML,cosmeticos,"573,09",639,"9,00","11,50%"

588,SABON. LIQUIDO LOVIN CREMOSO 6X500 ML,cosmeticos,"573,09",639,"12,33","11,50%"

589,SABON. LIQUIDO LOVIN MARINHO 6X500 ML,cosmeticos,"573,09",639,"8,50","11,50%"

590,APERITIVO PRINGLES NATUR/CEBOLA 12X40 GR,Alimentos,"826,00",921,"3,50","11,50%"

591,APERITIVO PRINGLES ORIGINAL 12X40 GR,Alimentos,"826,00",921,"4,00","11,50%"

592,APERITIVO PRINGLES TEX & BARBAC. 12X40 GR,Alimentos,"826,00",921,"3,00","11,50%"

593,SUMO MAAZA MANGA LTA 24X33 CL,n_alcool,"1.329,72",1.483,"102,27","11,53%"

594,PISTACIO TORRADO GANCEDO 15X70 GR,Alimentos,"1.847,05",2.060,"0,13","11,53%"

595,VINHO ALBERNOAS BRANCO 6X75 CL,alcoolicas,"2.735,50",3.051,"3,00","11,53%"

596,VINHO ALBERNOAS TINTO 6X75 CL,alcoolicas,"2.735,48",3.051,"29,00","11,53%"

597,LEITE BATIDO INCOLAC BANANA 20X500 ML,Alimentos,"2.096,01",2.338,"17,95","11,55%"

598,VINHO AVELEDA VERDE BRANCO 6X75 CL,alcoolicas,"3.257,43",3.634,"10,50","11,56%"

599,VINHO PAPA FIGOS DOURO TINTO 6X75 CL,alcoolicas,"5.759,20",6.425,"14,00","11,56%"

600,APERIT. BETERRABA FRITA VEGE CHIP 10X70 GR,Alimentos,"1.356,13",1.513,"13,50","11,57%"

601,GEL BANHO ARGAN DUCHE AMALFI 16X750 ML,cosmeticos,"1.978,94",2.208,"4,50","11,57%"

602,DROPS DORI GOMAS CREME E FRUTAS (R_ 422) 30X8UN,CONFEITARIAS,"217,74",243,"29,00","11,60%"

603,LEITE COCO 17% GORDURA LATA  N-JOY 24X400 ML,Alimentos,"3.458,75",3.860,"31,00","11,60%"

604,FRALDA JOYFUL MAXI 7/18KG 20X8 FR,PRODUTOS DE HIGIENE LIMPEZA,"2.271,25",2.535,"13,70","11,61%"

605,FRALDA JOYFUL TWIN NEW BORN 2/5KG 20X11 FR,PRODUTOS DE HIGIENE LIMPEZA,"2.271,25",2.535,"3,50","11,61%"

606,AZEITE CAMPON_S GFA 12X1 LT,Alimentos,"4.640,00",5.179,"37,00","11,62%"

607,LEITE BATIDO INCOLAC BAUNILIA 20X500 ML,Alimentos,"2.094,48",2.338,"4,15","11,63%"

608,T_MARA S/CARO_O CONFEITADO GANCEDO 1X1 KG,CONFEITARIAS,"443,44",495,"112,00","11,63%"

609,PRATO PLASTICO RASO SAVIL (PACK 6) 1X6UN,OUTROS/DIVERSOS,"260,68",291,"24,00","11,63%"

610,APERITIVO PRINGLES PAPRIKA 12X40 GR,Alimentos,"825,02",921,"3,92","11,63%"

611,VINHO QUINTA AVELEDA VERDE BRANCO 6X75 CL,alcoolicas,"3.582,24",3.999,"15,00","11,63%"

612,VINHO PERA DOCE REGIONAL TINTO 6X75 CL,alcoolicas,"2.382,23",2.660,"1.021,17","11,66%"

613,ELIXIR LISTERINE ADVANCED WHIT 6X250 ML,PRODUTOS DE HIGIENE LIMPEZA,"1.284,18",1.434,"25,50","11,67%"

614,MOUSSE CHOC./LEITE ALSA  ECON. 6 POR_OES 10X57 GR,Alimentos,"1.339,57",1.496,"2,50","11,68%"

615,PANO P_ LIMPEZA AMARELO (R-010346) MONTSO 1X12 UN,OUTROS/DIVERSOS,"658,11",735,"15,00","11,68%"

616,AGUA FONTE NOVA 24X33 CL,n_alcool,"326,76",365,"12,03","11,70%"

617,CHOC. CADBURY DAIRY MILK CARAMEL 12X45 GR,CONFEITARIAS,"1.085,85",1.213,"2,00","11,71%"

618,CHOC. PRETO REGINA 24X100 GR,CONFEITARIAS,"3.179,34",3.552,"2,50","11,72%"

619,FRALDA JOYFUL JUNIOR 11/25KG 20X7 FR,PRODUTOS DE HIGIENE LIMPEZA,"2.268,75",2.535,"18,00","11,74%"

620,IOGURTE GREGO BAUNILIA 24X125 GR,Alimentos,"1.073,06",1.199,"24,00","11,74%"

621,IOGURTE GREGO NATURAL A_UCARADO 24X125 GR,Alimentos,"1.073,02",1.199,"17,17","11,74%"

622,IOGURTE GREGO BOSQUE 24X125 GR,Alimentos,"1.073,02",1.199,"22,75","11,74%"

623,AMB. SPRAY RUISENOR MA_A 12X300 ML,OUTROS/DIVERSOS,"1.186,52",1.326,"3,75","11,76%"

624,"DET. P_ P/M_Q. XAU SAB_O NATUR. 88D 1X5,28 KG",PRODUTOS DE HIGIENE LIMPEZA,"1.163,19",1.300,"10,00","11,76%"

625,BOL. TIFFANY MARIA 24X200 GR,Alimentos,"1.855,67",2.074,"14,50","11,77%"

626,QUINOA REAL MO_DA 100% 12X400 GR,Alimentos,"2.647,22",2.959,"14,58","11,78%"

627,GEL BANHO ALOE VERA AMALFI 16X750 ML,cosmeticos,"1.975,12",2.208,"0,25","11,79%"

628,FRALDA INDASEC ADULTO PLUS PANT (M_DIO) 4X12 UN,PRODUTOS DE HIGIENE LIMPEZA,"2.527,80",2.826,"82,75","11,80%"

629,DROPS DORI YOGURTE 100 FRUTAS VERM.(521) 1X600GR,CONFEITARIAS,"139,51",156,"287,70","11,82%"

630,VINHO 80  ALENTEJO TINTO 6X75 CL,alcoolicas,"1.850,25",2.069,"2,50","11,82%"

631,ESSENCIA FOSTER CLARK_S MENTA 12X28 ML,Alimentos,"415,81",465,"73,00","11,83%"

632,KETCHUP CALVE PICANTE TOP DOWN 8X275 GR,Alimentos,"644,72",721,"3,00","11,83%"

633,AZEITONA PRETA OLIV. SERRA FR. 12X220 GR,Alimentos,"699,16",782,"6,50","11,85%"

634,VINHO TERRAS P_ ERMELINDA FREITAS TINTO 6X75 CL,alcoolicas,"2.359,27",2.639,"51,50","11,86%"

635,PASTA AMENDOIM P/ BARRAR CALVE SMOOTH 12X350 GR,Alimentos,"2.981,32",3.335,"1,20","11,86%"

636,VASSOURA EUROPEIA PVC PRETO (306 P) C/CABO 1X12 UN,OUTROS/DIVERSOS,"2.320,38",2.596,"11,50","11,88%"

637,VINHO DO PORTO MALVASIA BRANCO 6X75 CL,alcoolicas,"4.880,20",5.460,"2,50","11,88%"

638,CHUPET DORI C/AP. FAC POP FRUT.SORT. (214) 1X450GR,CONFEITARIAS,"131,39",147,"1,00","11,88%"

639,SAB_O BLOCO B29 10X200 GR,PRODUTOS DE HIGIENE LIMPEZA,"520,19",582,"3,00","11,88%"

640,DOCE MARMELADA TOP CUVETE 12X450 GR,Alimentos,"991,22",1.109,"0,50","11,88%"

641,MILHO VERDE TREVI LTA 12X340 GR,Alimentos,"804,40",900,"0,50","11,88%"

642,CACAU EM P_ TREVI 20X125 GR,Alimentos,"1.931,41",2.161,"18,00","11,89%"

643,FRALDA JOYFUL MIDI 4/9 KG 20X9 FR,PRODUTOS DE HIGIENE LIMPEZA,"2.265,23",2.535,"138,50","11,91%"

644,VINHO CASAL MENDES VERDE BRANCO  6X75 CL,alcoolicas,"2.618,11",2.930,"43,00","11,91%"

645,DENT. COLGATE HERBAL 12X75 ML,PRODUTOS DE HIGIENE LIMPEZA,"1.180,37",1.321,"98,00","11,91%"

646,VINHO VERDE BRANCO ARCA NOVA 6X75CL,alcoolicas,"2.030,85",2.273,"15,00","11,92%"

647,FEIJ_O SECO PEDRA TREVI 12X1 KG,Alimentos,"1.732,43",1.939,"6,00","11,92%"

648,VINHO VINHA D'ERVIDEIRA ALENTEJO BRANCO 6X75CL,alcoolicas,"5.343,19",5.982,"6,00","11,96%"

649,A_UCAR MASCAVADO RAR ESCURO 10X500 GR,Alimentos,"1.388,83",1.555,"19,10","11,96%"

650,VODKA RODANOV 12X1 LT,alcoolicas,"5.811,59",6.507,"5,75","11,97%"

651,VINHO ADEGA PALMELA DOC TINTO 6X75 CL,alcoolicas,"2.133,64",2.389,"2,00","11,97%"

652,ESCOVA P/UNHAS S/BLISTER 1X12 UN,OUTROS/DIVERSOS,"601,93",674,"1,08","11,97%"

653,VINAGRE SIDRA PENISULAR 20X500 ML,Alimentos,"892,14",999,"4,65","11,98%"

654,SABON. LIQ. PERFUMADO JOEL 4X5 KG,cosmeticos,"1.782,49",1.996,"29,75","11,98%"

655,"TOMATE, PELADO INTEIRO TREVI 12X780 GR",Alimentos,"1.068,02",1.196,"46,92","11,98%"

656,VINHO RAPADA TINTO 1X5 LT,alcoolicas,"939,40",1.052,"23,00","11,99%"

657,CH_ LIPTON LIM_O GENGIBRE PIRAMID 12X20 UN,Alimentos,"1.327,83",1.487,"7,50","11,99%"

658,PAPEL HIG. PAMPILAR EXTRA SUAVE 1X12 ROL,PRODUTOS DE HIGIENE LIMPEZA,"154,48",173,"2,00","11,99%"

659,CH_ LIPTON CIDREIRA/LAVANDA 12X20 UN,Alimentos,"1.327,77",1.487,"6,50","11,99%"

660,CALDO KNORR GALINHA 10X16 CUB,Alimentos,"1.349,97",1.512,"65,90","12,00%"

661,ANAN_S EM RODELAS TREVI 6X3 KG,Alimentos,"2.553,40",2.860,"3,00","12,01%"

662,VINHO LUSITANO ALENTEJO BRANCO 6X75CL,alcoolicas,"4.002,40",4.483,"5,00","12,01%"

663,VINHO CRUZ ARCOS TINTO 6X75 CL,alcoolicas,"1.179,26",1.321,"7,50","12,02%"

664,QUEIJO FLAM. SELECTO BARRA 1X1 KG,Alimentos,"606,13",679,"822,09","12,02%"

665,CHOC. PRETO REGINA EXTRA NOIR 70% 24X100 GR,CONFEITARIAS,"3.445,72",3.860,"8,00","12,02%"

666,GR_O BICO MOCITOS LTA 24X425 GR,Alimentos,"1.318,43",1.477,"0,42","12,03%"

667,VINHO D. ERMELINDA PETIT VERDOT RES. TINTO 6X75 CL,alcoolicas,"7.132,05",7.990,"14,50","12,03%"

668,ALIMENTO P/GATO ADULTO CAMPE_O 1X10 KG,Alimentos,"966,69",1.083,"2,00","12,03%"

669,VINHO CASAL GARCIA BRANCO SWEET 6X75 CL,alcoolicas,"3.178,05",3.561,"0,17","12,05%"

670,VINHO CASAL GARCIA TINTO 6X75 CL,alcoolicas,"3.177,93",3.561,"8,50","12,05%"

671,FRALDA JOYFUL MINI 3/6KG 20X10 FR,PRODUTOS DE HIGIENE LIMPEZA,"2.262,27",2.535,"98,00","12,06%"

672,MASSA SPARG. ARMANTI 20X500 GR,Alimentos,"795,13",891,"1.492,35","12,06%"

673,COPOS PLAST. BRANCO 100 CC PIKNI 1X50 UN,OUTROS/DIVERSOS,"53,54",60,"66,00","12,07%"

674,VINHO ESP. ALIAN_A TINTO RES. BRUTO 6X75 CL,alcoolicas,"4.871,87",5.460,"0,50","12,07%"

